# k[h/Mpc]   P_Zel   P_A    P_W    P_d    P_dd     P_d^2    P_d^2d^2  P_dd^2    P_s^2    P_ds^2    P_d^2s^2   P_s^2s^2   P_D2d     P_dD2d
# 
5.9435e-02 1.0696e+04 3.1798e+02 -4.1529e+01 2.2778e+04 1.2037e+04 4.4252e+02 1.9167e+03 9.3847e+02 -1.7858e+02 -7.4243e+01 3.3133e+03 2.0408e+03 0.0000e+00 0.0000e+00
6.9985e-02 9.1704e+03 3.2236e+02 -1.9420e+01 1.9904e+04 1.0701e+04 5.5404e+02 1.8508e+03 1.1064e+03 -2.3606e+02 -1.0436e+02 2.9410e+03 1.8347e+03 0.0000e+00 0.0000e+00
8.2407e-02 7.1733e+03 2.9277e+02 1.4550e+01 1.5982e+04 8.7956e+03 6.6658e+02 1.7706e+03 1.2649e+03 -2.8702e+02 -1.3069e+02 2.5742e+03 1.6330e+03 0.0000e+00 0.0000e+00
9.7035e-02 5.2853e+03 2.4443e+02 4.4560e+01 1.2175e+04 6.9027e+03 7.4825e+02 1.6759e+03 1.3795e+03 -3.2056e+02 -1.4735e+02 2.2221e+03 1.4368e+03 0.0000e+00 0.0000e+00
1.1426e-01 4.2017e+03 2.0507e+02 5.7409e+01 9.9901e+03 5.8496e+03 7.9785e+02 1.5681e+03 1.4509e+03 -3.4395e+02 -1.5843e+02 1.8843e+03 1.2521e+03 0.0000e+00 0.0000e+00
1.3454e-01 3.3506e+03 1.5752e+02 6.6251e+01 8.2460e+03 5.0133e+03 8.3879e+02 1.4489e+03 1.5005e+03 -3.6225e+02 -1.6632e+02 1.5717e+03 1.0830e+03 0.0000e+00 0.0000e+00
1.5842e-01 2.4183e+03 9.9825e+01 7.1254e+01 6.2270e+03 3.9696e+03 8.4318e+02 1.3206e+03 1.4977e+03 -3.6385e+02 -1.6471e+02 1.2959e+03 9.2737e+02 0.0000e+00 0.0000e+00
1.8654e-01 1.8486e+03 4.4394e+01 6.3854e+01 4.9301e+03 3.3081e+03 8.1116e+02 1.1872e+03 1.4462e+03 -3.5431e+02 -1.5701e+02 1.0532e+03 7.8742e+02 0.0000e+00 0.0000e+00
2.1965e-01 1.3472e+03 -7.4607e+00 5.1540e+01 3.7316e+03 2.6621e+03 7.5671e+02 1.0521e+03 1.3607e+03 -3.3667e+02 -1.4495e+02 8.4602e+02 6.6270e+02 0.0000e+00 0.0000e+00
2.5864e-01 9.8511e+02 -5.5076e+01 3.4449e+01 2.8017e+03 2.1467e+03 6.7761e+02 9.1923e+02 1.2416e+03 -3.1143e+02 -1.2923e+02 6.7160e+02 5.5261e+02 0.0000e+00 0.0000e+00
3.0455e-01 7.0305e+02 -9.3414e+01 1.5589e+01 2.0307e+03 1.6962e+03 5.8356e+02 7.9155e+02 1.1006e+03 -2.8131e+02 -1.1166e+02 5.2697e+02 4.5624e+02 0.0000e+00 0.0000e+00
3.5861e-01 4.9219e+02 -1.2146e+02 -2.5398e+00 1.4154e+03 1.3157e+03 4.8137e+02 6.7158e+02 9.4668e+02 -2.4789e+02 -9.3461e+01 4.0832e+02 3.7259e+02 0.0000e+00 0.0000e+00
4.2226e-01 3.3536e+02 -1.3702e+02 -1.7315e+01 9.3300e+02 9.9449e+02 3.7832e+02 5.6110e+02 7.8865e+02 -2.1260e+02 -7.5649e+01 3.1195e+02 3.0057e+02 0.0000e+00 0.0000e+00
4.9721e-01 2.2084e+02 -1.3922e+02 -2.6765e+01 5.6955e+02 7.2777e+02 2.8150e+02 4.6127e+02 6.3479e+02 -1.7680e+02 -5.9063e+01 2.3445e+02 2.3912e+02 0.0000e+00 0.0000e+00
5.8547e-01 1.3959e+02 -1.2895e+02 -3.0019e+01 3.1231e+02 5.1266e+02 1.9700e+02 3.7270e+02 4.9239e+02 -1.4191e+02 -4.4344e+01 1.7288e+02 1.8729e+02 0.0000e+00 0.0000e+00
6.8939e-01 8.4251e+01 -1.0926e+02 -2.7756e+01 1.4594e+02 3.4631e+02 1.2900e+02 2.9567e+02 3.6735e+02 -1.0944e+02 -3.1937e+01 1.2478e+02 1.4422e+02 0.0000e+00 0.0000e+00
8.1176e-01 4.8495e+01 -8.4943e+01 -2.2039e+01 5.0841e+01 2.2431e+02 7.8953e+01 2.3010e+02 2.6350e+02 -8.0856e+01 -2.2046e+01 8.8008e+01 1.0907e+02 0.0000e+00 0.0000e+00
9.5585e-01 2.6720e+01 -6.0992e+01 -1.5395e+01 4.9421e+00 1.3990e+02 4.5356e+01 1.7562e+02 1.8207e+02 -5.7228e+01 -1.4615e+01 6.0652e+01 8.1014e+01 0.0000e+00 0.0000e+00
1.1255e+00 1.4212e+01 -4.0927e+01 -9.6886e+00 -1.2039e+01 8.4668e+01 2.4690e+01 1.3151e+02 1.2169e+02 -3.8930e+01 -9.3460e+00 4.0901e+01 5.9144e+01 0.0000e+00 0.0000e+00
1.3253e+00 7.3743e+00 -2.6057e+01 -5.6387e+00 -1.4991e+01 5.0168e+01 1.2893e+01 9.6712e+01 7.9094e+01 -2.5601e+01 -5.8017e+00 2.7062e+01 4.2497e+01 0.0000e+00 0.0000e+00
1.5605e+00 3.7707e+00 -1.5980e+01 -3.1110e+00 -1.2674e+01 2.9335e+01 6.5336e+00 6.9947e+01 5.0279e+01 -1.6385e+01 -3.5193e+00 1.7627e+01 3.0105e+01 0.0000e+00 0.0000e+00
1.8375e+00 1.9147e+00 -9.5604e+00 -1.6602e+00 -9.2456e+00 1.7026e+01 3.2419e+00 4.9837e+01 3.1417e+01 -1.0269e+01 -2.0984e+00 1.1342e+01 2.1063e+01 0.0000e+00 0.0000e+00
2.1637e+00 9.7054e-01 -5.6315e+00 -8.6929e-01 -6.2493e+00 9.8463e+00 1.5837e+00 3.5038e+01 1.9373e+01 -6.3358e+00 -1.2359e+00 7.2332e+00 1.4577e+01 0.0000e+00 0.0000e+00
2.5478e+00 4.9262e-01 -3.2867e+00 -4.5079e-01 -4.0400e+00 5.6858e+00 7.6367e-01 2.4346e+01 1.1826e+01 -3.8631e+00 -7.2167e-01 4.5848e+00 9.9934e+00 0.0000e+00 0.0000e+00
3.0000e+00 2.5079e-01 -1.9084e+00 -2.3286e-01 -2.5401e+00 3.2826e+00 3.6342e-01 1.6744e+01 7.1613e+00 -2.3346e+00 -4.1902e-01 2.8955e+00 6.7949e+00 0.0000e+00 0.0000e+00
